2024-03-20 15:26:33,361 INFO    StreamThr :12779 [internal.py:wandb_internal():86] W&B internal server running at pid: 12779, started at: 2024-03-20 15:26:33.359827
2024-03-20 15:26:33,362 DEBUG   HandlerThread:12779 [handler.py:handle_request():146] handle_request: status
2024-03-20 15:26:33,362 INFO    WriterThread:12779 [datastore.py:open_for_write():87] open: ./wandb/run-20240320_152633-uwh9jupt/run-uwh9jupt.wandb
2024-03-20 15:26:33,365 DEBUG   SenderThread:12779 [sender.py:send():382] send: header
2024-03-20 15:26:33,365 DEBUG   SenderThread:12779 [sender.py:send():382] send: run
2024-03-20 15:26:33,366 INFO    SenderThread:12779 [sender.py:_maybe_setup_resume():763] checking resume status for None/dwarf_galaxies_ZOO/uwh9jupt
2024-03-20 15:26:34,041 INFO    SenderThread:12779 [dir_watcher.py:__init__():211] watching files in: ./wandb/run-20240320_152633-uwh9jupt/files
2024-03-20 15:26:34,041 INFO    SenderThread:12779 [sender.py:_start_run_threads():1136] run started: uwh9jupt with start time 1710948393.358679
2024-03-20 15:26:34,055 DEBUG   HandlerThread:12779 [handler.py:handle_request():146] handle_request: check_version
2024-03-20 15:26:34,056 DEBUG   SenderThread:12779 [sender.py:send_request():409] send_request: check_version
2024-03-20 15:26:34,136 DEBUG   HandlerThread:12779 [handler.py:handle_request():146] handle_request: run_start
2024-03-20 15:26:34,147 DEBUG   HandlerThread:12779 [system_info.py:__init__():27] System info init
2024-03-20 15:26:34,147 DEBUG   HandlerThread:12779 [system_info.py:__init__():42] System info init done
2024-03-20 15:26:34,147 INFO    HandlerThread:12779 [system_monitor.py:start():194] Starting system monitor
2024-03-20 15:26:34,147 INFO    SystemMonitor:12779 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-20 15:26:34,148 INFO    HandlerThread:12779 [system_monitor.py:probe():214] Collecting system info
2024-03-20 15:26:34,149 INFO    SystemMonitor:12779 [interfaces.py:start():190] Started cpu monitoring
2024-03-20 15:26:34,150 DEBUG   HandlerThread:12779 [system_info.py:probe():151] Probing system
2024-03-20 15:26:34,150 INFO    SystemMonitor:12779 [interfaces.py:start():190] Started disk monitoring
2024-03-20 15:26:34,151 INFO    SystemMonitor:12779 [interfaces.py:start():190] Started gpuapple monitoring
2024-03-20 15:26:34,152 INFO    SystemMonitor:12779 [interfaces.py:start():190] Started memory monitoring
2024-03-20 15:26:34,154 INFO    SystemMonitor:12779 [interfaces.py:start():190] Started network monitoring
2024-03-20 15:26:34,159 DEBUG   HandlerThread:12779 [gitlib.py:_init_repo():56] git repository is invalid
2024-03-20 15:26:34,159 DEBUG   HandlerThread:12779 [system_info.py:probe():199] Probing system done
2024-03-20 15:26:34,159 DEBUG   HandlerThread:12779 [system_monitor.py:probe():223] {'os': 'macOS-13.4.1-arm64-arm-64bit', 'python': '3.9.16', 'heartbeatAt': '2024-03-20T15:26:34.150222', 'startedAt': '2024-03-20T15:26:33.354701', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/davidchemaly/Documents/Cambridge/PhD_Projects/Dwarf_ZooBot/ZOO_lightning.py', 'codePathLocal': 'ZOO_lightning.py', 'codePath': 'ZOO_lightning.py', 'host': 'Davids-MacBook-Pro-73.local', 'username': 'davidchemaly', 'executable': '/Users/davidchemaly/miniforge3/envs/Torch/bin/python', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3204, 'min': 600, 'max': 3204}, 'cpu_freq_per_core': [{'current': 3204, 'min': 600, 'max': 3204}], 'disk': {'/': {'total': 460.4317207336426, 'used': 438.5098075866699}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 16.0}}
2024-03-20 15:26:34,160 INFO    HandlerThread:12779 [system_monitor.py:probe():224] Finished collecting system info
2024-03-20 15:26:34,160 INFO    HandlerThread:12779 [system_monitor.py:probe():227] Publishing system info
2024-03-20 15:26:34,160 DEBUG   HandlerThread:12779 [system_info.py:_save_conda():208] Saving list of conda packages installed into the current environment
2024-03-20 15:26:35,047 INFO    Thread-12 :12779 [dir_watcher.py:_on_file_created():271] file/dir created: ./wandb/run-20240320_152633-uwh9jupt/files/conda-environment.yaml
2024-03-20 15:26:37,826 DEBUG   HandlerThread:12779 [system_info.py:_save_conda():220] Saving conda packages done
2024-03-20 15:26:37,827 INFO    HandlerThread:12779 [system_monitor.py:probe():229] Finished publishing system info
2024-03-20 15:26:37,834 DEBUG   SenderThread:12779 [sender.py:send():382] send: files
2024-03-20 15:26:37,834 INFO    SenderThread:12779 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2024-03-20 15:26:37,837 DEBUG   HandlerThread:12779 [handler.py:handle_request():146] handle_request: python_packages
